query,vo,dataset_version,percentage,throughput
tpch_query03,vo1,tpch,66.43,11000000.0
tpch_query03,vo1,tpch,67.44,12833333.333333334
tpch_query03,vo1,tpch,68.45,11000000.0
tpch_query03,vo1,tpch,69.45,15400000.0
tpch_query03,vo1,tpch,70.46,15400000.0
tpch_query03,vo1,tpch,71.47,12833333.333333334
tpch_query03,vo1,tpch,72.47,19250000.0
tpch_query03,vo1,tpch,73.48,19250000.0
tpch_query03,vo1,tpch,74.48,25666666.666666668
tpch_query03,vo1,tpch,75.49,19250000.0
tpch_query03,vo1,tpch,76.5,25666666.666666668
tpch_query03,vo1,tpch,77.5,19250000.0
tpch_query03,vo1,tpch,78.51,25666666.666666668
tpch_query03,vo1,tpch,79.52,25666666.666666668
tpch_query03,vo1,tpch,80.52,19250000.0
tpch_query03,vo1,tpch,81.53,25666666.666666668
tpch_query03,vo1,tpch,82.54,19250000.0
tpch_query03,vo1,tpch,83.54,25666666.666666668
tpch_query03,vo1,tpch,84.55,25666666.666666668
tpch_query03,vo1,tpch,85.56,25666666.666666668
tpch_query03,vo1,tpch,86.56,19250000.0
tpch_query03,vo1,tpch,87.57,19250000.0
tpch_query03,vo1,tpch,88.57,25666666.666666668
tpch_query03,vo1,tpch,89.58,19250000.0
tpch_query03,vo1,tpch,90.59,19250000.0
tpch_query03,vo1,tpch,91.59,15400000.0
tpch_query03,vo1,tpch,92.6,19250000.0
tpch_query03,vo1,tpch,93.61,19250000.0
tpch_query03,vo1,tpch,94.61,15400000.0
tpch_query03,vo1,tpch,95.62,19250000.0
tpch_query03,vo1,tpch,96.63,1750000.0
tpch_query03,vo1,tpch,97.63,25666666.666666668
tpch_query03,vo1,tpch,98.64,19250000.0
tpch_query03,vo1,tpch,99.64,25666666.666666668
