rows,inserts,deletes,duration_ms
6929,6929,0,0.266954
1732,1732,0,0.036729
173,173,0,0.132074
6929,6929,0,0.249339
1732,1732,0,0.038771
173,173,0,0.1389
6929,6929,0,0.253002
1732,1732,0,0.047884
173,173,0,0.12843
6929,6929,0,0.244058
1732,1732,0,0.036849
173,173,0,0.137043
6929,6929,0,0.235572
1732,1732,0,0.030794
173,173,0,0.130885
6929,6929,0,0.23067
1732,1732,0,0.035838
173,173,0,0.129906
6929,6929,0,0.247065
1732,1732,0,0.036897
173,173,0,0.661984
6929,6929,0,0.24948
1732,1732,0,0.701996
173,173,0,0.142551
6929,6929,0,0.25828
1732,1732,0,0.037155
173,173,0,0.131392
6929,6929,0,0.25205
1732,1732,0,0.029672
173,173,0,0.131548
6929,6929,0,0.249335
1732,1732,0,0.045822
173,173,0,0.132514
6929,6929,0,0.255656
1732,1732,0,0.036548
173,173,0,0.131011
6929,6929,0,0.245486
1732,1732,0,0.033363
173,173,0,0.133247
6929,6929,0,0.25376
1732,1732,0,0.034414
173,173,0,0.138408
6929,6929,0,0.258252
1732,1732,0,0.031369
173,173,0,0.134133
6929,6929,0,0.257956
1732,1732,0,0.036191
173,173,0,0.133784
6929,6929,0,0.264185
1732,1732,0,0.03611
173,173,0,0.12993
6929,6929,0,0.258037
1732,1732,0,0.035276
173,173,0,0.132221
6929,6929,0,0.863007
1732,1732,0,0.043339
173,173,0,0.141067
6929,6929,0,0.285913
1732,1732,0,0.034081
173,173,0,0.146174
6929,6929,0,0.278157
1732,1732,0,0.036177
173,173,0,0.14132
6929,6929,0,0.283681
1732,1732,0,0.038192
173,173,0,0.135315
6929,6929,0,0.273435
1732,1732,0,0.034568
173,173,0,0.130338
6929,6929,0,0.270926
1732,1732,0,0.034944
173,173,0,0.1357
6929,6929,0,0.258949
1732,1732,0,0.032675
173,173,0,0.134538
6929,6929,0,0.268915
1732,1732,0,0.038649
173,173,0,0.133996
6929,6929,0,0.272415
1732,1732,0,0.035364
173,173,0,0.132999
6929,6929,0,0.287148
1732,1732,0,0.040606
173,173,0,0.133057
6929,6929,0,0.271944
1732,1732,0,0.035172
173,173,0,0.135043
6929,6929,0,0.269773
1732,1732,0,0.13713
173,173,0,0.142212
6929,6929,0,0.282007
1732,1732,0,0.036037
173,173,0,0.14141
6929,6929,0,0.26959
1732,1732,0,0.036437
173,173,0,0.135625
6929,6929,0,0.27827
1732,1732,0,0.036166
173,173,0,0.274055
6929,6929,0,0.282717
1732,1732,0,0.041031
173,173,0,0.135228
6929,6929,0,0.286991
1732,1732,0,0.04153
173,173,0,0.132832
6929,6929,0,0.316777
1732,1732,0,0.040976
173,173,0,0.14325
6929,6929,0,0.287676
1732,1732,0,0.055519
173,173,0,0.138641
6929,6929,0,0.304474
1732,1732,0,0.040205
173,173,0,0.148653
6929,6929,0,0.282428
1732,1732,0,0.044731
173,173,0,0.132829
6929,6929,0,0.269916
1732,1732,0,0.035607
173,173,0,0.136896
6929,6929,0,0.269002
1732,1732,0,0.0439
173,173,0,0.134103
6929,6929,0,0.271075
1732,1732,0,0.034129
173,173,0,0.137183
6929,6929,0,0.280566
1732,1732,0,0.035464
173,173,0,0.137905
6929,6929,0,0.635035
1732,1732,0,0.037191
173,173,0,0.137999
6929,6929,0,0.264358
1732,1732,0,0.033741
173,173,0,0.140299
6929,6929,0,0.269635
1732,1732,0,0.041591
173,173,0,0.5949
6929,6929,0,0.276831
1732,1732,0,0.039803
173,173,0,0.128679
6929,6929,0,0.263432
1732,1732,0,0.038495
173,173,0,0.122924
6929,6929,0,0.265579
1732,1732,0,0.045887
173,173,0,0.128145
6929,6929,0,0.258753
1732,1732,0,0.040232
173,173,0,0.127389
6929,6929,0,0.264689
1732,1732,0,0.039867
173,173,0,0.165932
6929,6929,0,0.281102
1732,1732,0,0.037289
173,173,0,0.136372
6929,6929,0,0.279406
1732,1732,0,0.038168
173,173,0,0.136972
6929,6929,0,0.301856
1732,1732,0,0.042472
173,173,0,0.125578
6929,6929,0,0.274237
1732,1732,0,0.044014
173,173,0,0.129813
6929,6929,0,0.272236
1732,1732,0,0.042858
173,173,0,0.131317
6929,6929,0,0.266153
1732,1732,0,0.048216
173,173,0,0.129576
6929,6929,0,0.274297
1732,1732,0,0.040589
173,173,0,0.130067
6929,6929,0,0.284542
1732,1732,0,0.040029
173,173,0,0.132033
6929,6929,0,0.319097
1732,1732,0,0.044615
173,173,0,0.127852
6929,6929,0,0.300893
1732,1732,0,0.04006
173,173,0,0.141185
6929,6929,0,0.288991
1732,1732,0,0.046385
173,173,0,0.134175
6929,6929,0,0.292902
1732,1732,0,0.048688
173,173,0,0.137479
6929,6929,0,0.292932
1732,1732,0,0.03739
173,173,0,0.134238
6929,6929,0,0.280621
1732,1732,0,0.043813
173,173,0,0.13443
